,store_id,n_cust,mae_ncust,percentage_error
157,158,662.3078512396694,191.5,0.2891404648783212
158,159,874.0560747663551,108.91,0.12460298960694581
159,160,711.5123966942149,133.64,0.18782525873183648
160,161,1029.0268595041323,201.23,0.19555369050033228
161,162,522.7066115702479,131.1,0.25080991343531367
162,163,736.9111570247934,205.48,0.27883958336253906
163,164,805.731308411215,106.46,0.13212841413587817
164,165,351.70327102803736,237.41,0.675029263464183
165,166,741.1611570247934,142.99,0.19292700196809787
166,167,1332.638429752066,229.94,0.17254492656554993
167,168,917.099173553719,151.89,0.16562003802863862
168,169,574.2644628099174,112.17,0.19532812365080734
169,170,695.7252066115702,164.83,0.23691825225476718
170,171,803.103305785124,189.24,0.23563593704174407
171,172,796.6915887850467,212.86,0.26717992633085424
172,173,1289.2396694214876,312.13,0.24210393722996448
173,174,450.8948598130841,179.64,0.398407735396382
174,175,885.8181818181819,90.16,0.10178160919540229
175,176,524.8760330578513,94.44,0.1799282002834199
176,177,619.849173553719,217.83,0.35142420010199765
177,178,853.9194214876034,216.12,0.2530917959723879
178,179,1199.7995867768595,308.13,0.25681789141781597
179,180,791.2355371900826,140.51,0.17758302477034035
180,181,244.03271028037383,44.84,0.1837458591042261
181,182,529.5330578512396,249.97,0.47205740282644154
182,183,749.6004672897196,139.69,0.18635260528194147
183,184,752.7355371900826,138.37,0.18382286096990594
184,185,692.2789256198347,164.25,0.237259858593757
185,186,470.0911214953271,238.7,0.5077738954964984
186,187,989.5206611570248,243.16,0.245735141816724
187,188,325.7830578512397,209.58,0.6433115379980847
188,189,1067.3057851239669,240.42,0.22525878089574428
189,190,612.1588785046729,61.39,0.10028442313857804
190,191,260.25233644859816,50.16,0.19273602183359065
191,192,826.5794392523364,273.64,0.33105106055809325
192,193,731.4194214876034,125.49,0.171570505667967
193,194,525.9028925619834,251.1,0.4774645729304581
194,195,1623.9070247933885,316.93,0.19516511423449465
195,196,879.5289256198347,99.22,0.11281038873175911
196,197,772.8161157024794,148.81,0.19255550832390927
197,198,424.9669421487603,207.44,0.4881320861126777
198,199,227.0082644628099,90.85,0.4002056938983544
199,200,913.595041322314,213.7,0.23391107693699398
200,201,411.5723140495868,215.85,0.5244521864850076
201,202,636.4731404958678,207.22,0.32557540423238857
202,203,312.0206611570248,49.26,0.15787416069607596
203,204,657.3271028037383,167.12,0.2542417607416044
204,205,1134.9876033057851,266.2,0.23454000662620555
205,206,746.400826446281,145.52,0.19496227073172082
